Invoice ID,City,Customer type,Gender,Product line id,Unit price,Quantity,Tax 5% (Rs),Date,Time,Payment,Rating
145-94-9061,Jodhpur,Normal,Female,105,88.36,5,22.09,1/25/2023,19:48,Cash,9.6
848-62-7243,Davanagere,Normal,Male,101,24.89,9,11.2005,3/15/2023,15:36,Cash,7.4
871-79-8483,Mumbai,Normal,Male,106,94.13,5,23.5325,2/25/2023,19:39,Credit card,4.8
149-71-6266,Amravati,Member,Male,104,78.07,9,35.1315,1/28/2023,12:43,Cash,4.5
640-49-2076,Belagavi,Normal,Male,104,83.78,8,33.512,01-10-2023,14:49,Cash,5.1
595-11-5460,Bikaner,Normal,Male,101,96.58,2,9.658,3/15/2023,10:12,Credit card,5.1
183-56-6882,Hubli-Dharwad,Member,Female,105,99.42,4,19.884,02-06-2023,10:42,Ewallet,7.5
232-16-2483,Mumbai,Member,Female,104,68.12,1,3.406,01-07-2023,12:28,Ewallet,6.8
129-29-8530,Bathinda,Member,Male,104,62.62,5,15.655,03-10-2023,19:15,Ewallet,7
272-65-1806,Jalandhar,Normal,Female,102,60.88,9,27.396,1/15/2023,17:17,Ewallet,4.7
333-73-7901,Bhiwandi,Normal,Female,101,54.92,8,21.968,3/23/2023,13:24,Ewallet,7.6
777-82-7220,Amritsar,Member,Male,103,30.12,8,12.048,03-03-2023,13:01,Cash,7.7
280-35-5823,Ahmedabad,Member,Female,103,86.72,1,4.336,1/17/2023,18:45,Ewallet,7.9
554-53-8700,Jabalpur,Member,Male,103,56.11,2,5.611,02-02-2023,10:11,Cash,6.3
354-25-5821,Malegaon,Member,Female,104,69.12,6,20.736,02-08-2023,13:03,Cash,5.6
228-96-1411,Thane,Member,Female,105,98.7,8,39.48,03-04-2023,20:39,Cash,7.6
617-15-4209,Akola,Member,Male,101,15.37,2,1.537,3/16/2023,19:47,Cash,7.2
132-32-9879,Bikaner,Member,Female,102,93.96,4,18.792,03-09-2023,18:00,Cash,9.5
370-41-7321,Bhopal,Member,Male,101,56.69,9,25.5105,2/27/2023,17:24,Credit card,8.4
727-46-3608,Bharatpur,Member,Female,105,20.01,9,9.0045,02-06-2023,15:47,Ewallet,4.1
669-54-1719,Nagpur,Member,Male,102,18.93,6,5.679,02-10-2023,12:45,Credit card,8.1
574-22-5561,Dhule,Member,Female,106,82.63,10,41.315,3/19/2023,17:08,Ewallet,7.9
326-78-5178,Bhopal,Member,Male,105,91.4,7,31.99,02-03-2023,10:19,Cash,9.5
162-48-8011,Kalyan-Dombivali,Member,Female,105,44.59,5,11.1475,02-10-2023,15:10,Cash,8.5
616-24-2851,Jalandhar,Member,Female,106,17.87,4,3.574,3/22/2023,14:42,Ewallet,6.5
778-71-5554,Ahmednagar,Member,Male,106,15.43,1,0.7715,1/25/2023,15:46,Credit card,6.1
242-55-6721,Nanded-Waghala,Normal,Male,103,16.16,2,1.616,03-07-2023,11:49,Ewallet,6.5
399-46-5918,Nashik,Normal,Female,102,85.98,8,34.392,2/28/2023,19:01,Cash,8.2
106-35-6779,Davanagere,Member,Male,103,44.34,2,4.434,3/27/2023,11:26,Cash,5.8
635-40-6220,Belagavi,Normal,Male,101,89.6,8,35.84,02-07-2023,11:28,Ewallet,6.6
817-48-8732,Udaipur,Member,Female,103,72.35,10,36.175,1/20/2023,15:55,Cash,5.4
120-06-4233,Akola,Normal,Male,102,30.61,6,9.183,03-12-2023,20:36,Cash,9.3
285-68-5083,Jalandhar,Member,Female,104,24.74,3,3.711,2/15/2023,17:47,Credit card,10
803-83-5989,Mumbai,Normal,Male,103,55.73,6,16.719,2/24/2023,10:55,Ewallet,7
347-34-2234,Jalandhar,Member,Female,104,55.07,9,24.7815,02-03-2023,13:40,Ewallet,10
199-75-8169,Belagavi,Member,Male,104,15.81,10,7.905,03-06-2023,12:27,Credit card,8.6
853-23-2453,Bhopal,Member,Male,101,75.74,4,15.148,2/14/2023,14:35,Cash,7.6
877-22-3308,Bengaluru,Member,Male,101,15.87,10,7.935,3/13/2023,16:40,Cash,5.8
838-78-4295,Indore,Normal,Female,101,33.47,2,3.347,02-10-2023,15:43,Ewallet,6.7
109-28-2512,Jamnagar,Member,Female,106,97.61,6,29.283,01-07-2023,15:01,Ewallet,9.9
232-11-3025,Ujjain,Normal,Male,104,78.77,10,39.385,1/24/2023,10:04,Cash,6.4
382-03-4532,Ballari,Member,Female,101,18.33,1,0.9165,02-02-2023,18:50,Cash,4.3
393-65-2792,Jodhpur,Normal,Male,105,89.48,10,44.74,01-06-2023,12:46,Credit card,9.6
796-12-2025,Dhule,Normal,Male,106,62.12,10,31.06,02-11-2023,16:19,Cash,5.9
510-95-6347,Bhavnagar,Member,Female,105,48.52,3,7.278,03-05-2023,18:17,Ewallet,4
841-35-6630,Nashik,Normal,Female,102,75.91,6,22.773,03-09-2023,18:21,Cash,8.7
287-21-9091,Indore,Normal,Male,103,74.67,9,33.6015,1/22/2023,10:55,Ewallet,9.4
732-94-0499,Mira-Bhayandar,Normal,Female,102,41.65,10,20.825,1/13/2023,17:04,Credit card,5.4
263-10-3913,Ludhiana,Member,Male,106,49.04,9,22.068,01-09-2023,14:20,Credit card,8.6
381-20-0914,Udaipur,Member,Female,106,20.01,9,9.0045,01-12-2023,15:48,Credit card,5.7
829-49-1914,Jamnagar,Member,Female,105,78.31,10,39.155,03-05-2023,16:24,Ewallet,6.6
756-01-7507,Amravati,Normal,Female,101,20.38,5,5.095,1/22/2023,18:56,Cash,6
870-72-4431,Thane,Normal,Female,101,99.19,6,29.757,1/21/2023,14:42,Credit card,5.5
847-38-7188,Bengaluru,Normal,Female,105,96.68,3,14.502,1/26/2023,19:56,Ewallet,6.4
480-63-2856,Vasai-Virar,Normal,Male,105,19.25,8,7.7,1/23/2023,18:37,Ewallet,6.6
787-56-0757,Nashik,Member,Female,105,80.36,4,16.072,2/23/2023,18:45,Credit card,8.3
360-39-5055,Gwalior,Member,Male,104,48.91,5,12.2275,03-09-2023,10:17,Cash,6.6
730-50-9884,Vasai-Virar,Normal,Female,104,83.06,7,29.071,03-05-2023,14:31,Ewallet,4
362-58-8315,Dhule,Normal,Male,106,76.52,5,19.13,3/25/2023,10:23,Cash,9.9
633-44-8566,Jalandhar,Member,Male,105,49.38,7,17.283,3/27/2023,20:35,Credit card,7.3
504-35-8843,Jamnagar,Normal,Male,104,42.47,1,2.1235,01-02-2023,16:57,Cash,5.7
318-68-5053,Jalandhar,Normal,Female,101,76.99,6,23.097,2/27/2023,17:55,Cash,6.1
565-80-5980,Ajmer,Member,Female,103,47.38,4,9.476,1/23/2023,10:25,Cash,7.1
225-32-0908,Ahmedabad,Normal,Female,104,44.86,10,22.43,1/26/2023,19:54,Ewallet,8.2
873-51-0671,Jaipur,Member,Female,104,21.98,7,7.693,01-10-2023,16:42,Ewallet,5.1
152-08-9985,Gwalior,Member,Male,101,64.36,9,28.962,03-12-2023,12:09,Credit card,8.6
512-91-0811,Belagavi,Normal,Male,101,89.75,1,4.4875,02-06-2023,20:05,Credit card,6.6
594-34-4444,Murwara (Katni),Normal,Male,102,97.16,1,4.858,03-08-2023,20:38,Ewallet,7.2
766-85-7061,Dhule,Normal,Male,101,87.87,10,43.935,3/29/2023,10:25,Ewallet,5.1
871-39-9221,Mumbai,Normal,Female,102,12.45,6,3.735,02-09-2023,13:11,Cash,4.1
865-92-6136,Davanagere,Normal,Male,105,52.75,3,7.9125,3/23/2023,10:16,Ewallet,9.3
733-01-9107,Jamnagar,Normal,Male,103,82.7,6,24.81,03-05-2023,18:14,Cash,7.4
163-56-7055,Bharatpur,Member,Male,106,48.71,1,2.4355,3/26/2023,19:20,Cash,4.1
189-98-2939,Amritsar,Normal,Male,106,78.55,9,35.3475,03-01-2023,13:22,Cash,7.2
551-21-3069,Mira-Bhayandar,Normal,Female,102,23.07,9,10.3815,02-01-2023,11:27,Cash,4.9
212-62-1842,Dhule,Normal,Male,105,58.26,6,17.478,3/28/2023,16:44,Cash,9.9
716-39-1409,Bhopal,Normal,Male,101,30.35,7,10.6225,3/19/2023,18:19,Cash,8
704-48-3927,Belagavi,Member,Male,102,88.67,10,44.335,01-12-2023,14:50,Ewallet,7.3
628-34-3388,Ahmednagar,Normal,Male,106,27.38,6,8.214,01-05-2023,20:54,Credit card,7.9
630-74-5166,Malegaon,Normal,Male,104,62.13,6,18.639,3/22/2023,20:19,Cash,7.4
588-01-7461,Nagpur,Normal,Female,105,33.98,9,15.291,3/24/2023,10:43,Cash,4.2
861-77-0145,Ahmednagar,Member,Male,102,81.97,10,40.985,03-03-2023,14:30,Cash,9.2
479-26-8945,Bhiwandi,Member,Female,104,16.49,2,1.649,02-05-2023,11:32,Ewallet,4.6
210-67-5886,Bengaluru,Member,Female,101,98.21,3,14.7315,02-05-2023,10:41,Credit card,7.8
227-78-1148,Aurangabad,Normal,Female,106,72.84,7,25.494,2/15/2023,12:44,Cash,8.4
645-44-1170,Jaipur,Member,Male,103,58.07,9,26.1315,1/19/2023,20:07,Ewallet,4.3
237-01-6122,Davanagere,Member,Female,103,80.79,9,36.3555,02-01-2023,20:31,Credit card,9.5
225-98-1496,Belagavi,Normal,Female,106,27.02,3,4.053,03-02-2023,13:01,Credit card,7.1
291-32-1427,Bharatpur,Member,Male,106,21.94,5,5.485,03-05-2023,12:29,Ewallet,5.3
659-65-8956,Ujjain,Member,Male,106,51.36,1,2.568,1/16/2023,15:26,Ewallet,5.2
642-32-2990,Indore,Normal,Female,105,10.96,10,5.48,02-02-2023,20:48,Ewallet,6
378-24-2715,Bharatpur,Normal,Male,103,53.44,2,5.344,1/20/2023,20:38,Ewallet,4.1
638-60-7125,Ujjain,Normal,Female,102,99.56,8,39.824,2/14/2023,17:03,Credit card,5.2
659-36-1684,Bharatpur,Member,Male,104,57.12,7,19.992,01-12-2023,12:02,Credit card,6.5
219-22-9386,Hubli-Dharwad,Member,Male,104,99.96,9,44.982,03-09-2023,17:26,Credit card,4.2
336-78-2147,Ajmer,Member,Male,103,63.91,8,25.564,3/13/2023,19:52,Credit card,4.6
268-27-6179,Thane,Member,Female,106,56.47,8,22.588,03-09-2023,14:57,Ewallet,7.3
668-90-8900,Jabalpur,Normal,Female,103,93.69,7,32.7915,03-10-2023,18:44,Credit card,4.5
870-54-3162,Ahmedabad,Normal,Female,104,32.25,5,8.0625,1/27/2023,13:26,Cash,9
189-08-9157,Vasai-Virar,Normal,Female,106,31.73,9,14.2785,01-08-2023,16:17,Credit card,5.9
663-86-9076,Amritsar,Member,Female,105,68.54,8,27.416,01-08-2023,15:57,Ewallet,8.5
549-84-7482,Jalandhar,Normal,Female,104,90.28,9,40.626,02-08-2023,11:15,Ewallet,7.2
191-10-6171,Mira-Bhayandar,Normal,Female,106,39.62,7,13.867,1/25/2023,13:18,Cash,7.5
802-70-5316,Kalyan-Dombivali,Member,Female,104,92.13,6,27.639,03-06-2023,20:34,Cash,8.3
695-51-0018,Bikaner,Normal,Female,104,34.84,4,6.968,02-10-2023,18:36,Cash,7.4
590-83-4591,Amravati,Member,Male,102,87.45,6,26.235,2/17/2023,14:40,Credit card,8.8
483-71-1164,Hubli-Dharwad,Normal,Female,101,81.3,6,24.39,03-08-2023,16:43,Ewallet,5.3
597-78-7908,Ahmedabad,Normal,Male,106,90.22,3,13.533,2/18/2023,19:39,Cash,6.2
700-81-1757,Thane,Normal,Female,102,26.31,5,6.5775,1/18/2023,20:59,Credit card,8.8
354-39-5160,Ajmer,Member,Female,103,34.42,6,10.326,2/18/2023,15:39,Cash,9.8
241-72-9525,Davanagere,Normal,Male,104,51.91,10,25.955,2/16/2023,12:21,Cash,8.2
575-30-8091,Mumbai,Normal,Male,104,72.5,8,29,3/16/2023,19:25,Ewallet,9.2
731-81-9469,Indore,Member,Female,104,89.8,10,44.9,1/23/2023,13:00,Credit card,5.4
280-17-4359,Ludhiana,Member,Male,101,90.5,10,45.25,1/25/2023,13:48,Cash,8.1
338-65-2210,Ballari,Member,Female,101,68.6,10,34.3,02-05-2023,19:57,Cash,9.1
488-25-4221,Bhavnagar,Member,Female,105,30.41,1,1.5205,2/22/2023,10:36,Credit card,8.4
239-10-7476,Hubli-Dharwad,Normal,Female,103,77.95,6,23.385,1/21/2023,16:37,Ewallet,8
458-41-1477,Ahmednagar,Normal,Female,101,46.26,6,13.878,03-08-2023,17:11,Credit card,9.5
685-64-1609,Jamnagar,Member,Female,106,30.14,10,15.07,02-10-2023,12:28,Ewallet,9.2
568-90-5112,Ahmedabad,Normal,Male,101,66.14,4,13.228,3/19/2023,12:46,Credit card,5.6
262-47-2794,Bhavnagar,Member,Male,103,71.86,8,28.744,03-06-2023,15:07,Credit card,6.2
238-49-0436,Jodhpur,Normal,Male,101,32.46,8,12.984,3/27/2023,13:48,Credit card,4.9
608-96-3517,Kalyan-Dombivali,Member,Female,106,91.54,4,18.308,3/23/2023,19:20,Credit card,4.8
584-86-7256,Nagpur,Member,Male,104,34.56,7,12.096,03-11-2023,16:07,Credit card,7.3
746-94-0204,Bathinda,Normal,Male,106,83.24,9,37.458,1/29/2023,11:56,Credit card,7.4
214-17-6927,Thane,Normal,Female,105,16.48,6,4.944,02-07-2023,18:23,Ewallet,9.9
400-89-4171,Udaipur,Normal,Female,104,80.97,8,32.388,1/28/2023,13:05,Cash,9.3
782-95-9291,Ahmedabad,Member,Male,105,92.29,5,23.0725,2/20/2023,15:55,Credit card,9
279-74-2924,Indore,Member,Male,102,72.17,1,3.6085,01-04-2023,19:40,Cash,6.1
307-85-2293,Ahmednagar,Normal,Male,103,50.28,5,12.57,03-07-2023,13:58,Ewallet,9.7
743-04-1105,Bharatpur,Member,Male,101,97.22,9,43.749,3/30/2023,14:43,Ewallet,6
423-57-2993,Ahmednagar,Normal,Male,104,93.39,6,28.017,3/27/2023,19:18,Ewallet,10
894-41-5205,Jodhpur,Normal,Female,105,43.18,8,17.272,1/19/2023,19:39,Credit card,8.3
275-28-0149,Jaipur,Normal,Male,104,63.69,1,3.1845,2/25/2023,16:21,Cash,6
101-17-6199,Ajmer,Normal,Male,105,45.79,7,16.0265,3/13/2023,19:44,Credit card,7
423-80-0988,Murwara (Katni),Normal,Male,104,76.4,2,7.64,1/30/2023,19:42,Ewallet,6.5
548-46-9322,Hubli-Dharwad,Normal,Male,105,39.9,10,19.95,2/20/2023,15:24,Credit card,5.9
505-02-0892,Nanded-Waghala,Member,Male,101,42.57,8,17.028,2/25/2023,14:12,Ewallet,5.6
234-65-2137,Bengaluru,Normal,Male,103,95.58,10,47.79,1/16/2023,13:32,Cash,4.8
687-47-8271,Jodhpur,Normal,Male,106,98.98,10,49.49,02-08-2023,16:20,Credit card,8.7
796-32-9050,Delhi,Normal,Male,105,51.28,6,15.384,1/19/2023,16:31,Cash,6.5
105-31-1824,Jamnagar,Member,Male,104,69.52,7,24.332,02-01-2023,15:10,Credit card,8.5
249-42-3782,Bengaluru,Normal,Male,101,70.01,5,17.5025,01-03-2023,11:36,Ewallet,5.5
316-55-4634,Nagpur,Member,Male,105,80.05,5,20.0125,1/26/2023,12:45,Credit card,9.4
733-33-4967,Murwara (Katni),Normal,Male,102,20.85,8,8.34,03-03-2023,19:17,Cash,6.3
608-27-6295,Amravati,Member,Male,102,52.89,6,15.867,1/19/2023,17:34,Credit card,9.8
414-12-7047,Nagpur,Normal,Male,105,19.79,8,7.916,1/18/2023,12:04,Ewallet,8.7
827-26-2100,Nashik,Member,Male,103,33.84,9,15.228,3/21/2023,16:21,Ewallet,8.8
175-54-2529,Jabalpur,Member,Male,105,22.17,8,8.868,03-03-2023,17:01,Credit card,9.6
139-52-2867,Bhavnagar,Normal,Female,106,22.51,7,7.8785,2/13/2023,10:50,Credit card,4.8
407-63-8975,Bhiwandi,Normal,Male,105,73.88,6,22.164,3/23/2023,19:16,Ewallet,4.4
342-65-4817,Jabalpur,Member,Male,101,86.8,3,13.02,1/28/2023,16:47,Ewallet,9.9
130-98-8941,Bikaner,Normal,Male,106,64.26,7,22.491,02-09-2023,10:00,Cash,5.7
434-83-9547,Bengaluru,Member,Male,105,38.47,8,15.388,1/23/2023,11:51,Cash,7.7
851-28-6367,Ludhiana,Member,Male,104,15.5,10,7.75,3/23/2023,10:55,Ewallet,8
824-88-3614,Indore,Normal,Male,101,34.31,8,13.724,1/25/2023,15:00,Ewallet,5.7
586-25-0848,Ludhiana,Normal,Female,104,12.34,7,4.319,03-04-2023,11:19,Credit card,6.7
895-66-0685,Malegaon,Member,Male,105,18.08,3,2.712,03-05-2023,19:46,Ewallet,8
305-14-0245,Malegaon,Member,Female,103,94.49,8,37.796,03-03-2023,19:00,Ewallet,7.5
732-04-5373,Jabalpur,Member,Male,103,46.47,4,9.294,02-08-2023,10:53,Cash,7
400-60-7251,Hubli-Dharwad,Normal,Male,103,74.07,1,3.7035,02-10-2023,12:50,Ewallet,9.9
593-65-1552,Indore,Normal,Female,103,69.81,4,13.962,1/28/2023,20:50,Credit card,5.9
284-34-9626,Ahmedabad,Normal,Female,103,77.04,3,11.556,02-11-2023,10:39,Credit card,7.2
437-58-8131,Bikaner,Normal,Female,106,73.52,2,7.352,1/15/2023,13:41,Ewallet,4.6
286-43-6208,Nagpur,Normal,Female,105,87.8,9,39.51,3/16/2023,19:08,Cash,9.2
641-43-2399,Murwara (Katni),Normal,Male,103,25.55,4,5.11,1/26/2023,20:23,Ewallet,5.7
831-07-6050,Bharatpur,Normal,Male,102,32.71,5,8.1775,3/19/2023,11:30,Credit card,9.9
556-86-3144,Gwalior,Member,Female,106,74.29,1,3.7145,1/13/2023,19:30,Cash,5
848-24-9445,Gwalior,Member,Male,101,43.7,2,4.37,3/26/2023,18:03,Cash,4.9
856-22-8149,Jodhpur,Normal,Female,103,25.29,1,1.2645,3/23/2023,10:13,Ewallet,6.1
699-01-4164,Indore,Normal,Male,101,41.5,4,8.3,03-12-2023,19:58,Credit card,8.2
420-11-4919,Kalyan-Dombivali,Member,Female,105,71.39,5,17.8475,2/17/2023,19:57,Credit card,5.5
606-80-4905,Ujjain,Member,Female,104,19.15,6,5.745,1/29/2023,10:01,Credit card,6.8
542-41-0513,Bharatpur,Member,Female,102,57.49,4,11.498,3/15/2023,11:57,Cash,6.6
426-39-2418,Bengaluru,Normal,Male,102,61.41,7,21.4935,1/14/2023,10:02,Cash,9.8
875-46-5808,Delhi,Member,Male,101,25.9,10,12.95,02-06-2023,14:51,Ewallet,8.7
394-43-4238,Hubli-Dharwad,Member,Male,103,17.77,5,4.4425,2/15/2023,12:42,Credit card,5.4
749-24-1565,Mangaluru,Normal,Female,101,23.03,9,10.3635,01-03-2023,12:02,Ewallet,7.9
672-51-8681,Bikaner,Member,Female,102,66.65,9,29.9925,01-04-2023,18:19,Credit card,9.7
263-87-5680,Jodhpur,Member,Female,103,28.53,10,14.265,3/18/2023,17:38,Ewallet,7.8
573-58-9734,Gwalior,Normal,Female,106,30.37,3,4.5555,3/28/2023,13:41,Ewallet,5.1
817-69-8206,Ujjain,Normal,Female,102,99.73,9,44.8785,03-02-2023,19:42,Credit card,6.5
888-02-0338,Vasai-Virar,Normal,Male,102,26.23,9,11.8035,1/25/2023,20:24,Ewallet,5.9
677-11-0152,Ahmedabad,Normal,Female,105,93.26,9,41.967,1/16/2023,18:08,Cash,8.8
142-63-6033,Ballari,Normal,Male,103,92.36,5,23.09,3/20/2023,19:17,Ewallet,4.9
656-16-1063,Bhopal,Normal,Male,104,46.42,3,6.963,01-04-2023,13:24,Credit card,4.4
891-58-8335,Aurangabad,Member,Female,104,29.61,7,10.3635,03-11-2023,15:53,Cash,6.5
802-43-8934,Mira-Bhayandar,Normal,Male,103,18.28,1,0.914,3/22/2023,15:05,Credit card,8.3
560-30-5617,Belagavi,Normal,Female,104,24.77,5,6.1925,3/24/2023,18:27,Cash,8.5
319-74-2561,Udaipur,Member,Female,102,94.64,3,14.196,2/21/2023,16:55,Cash,5.5
549-03-9315,Bathinda,Normal,Male,106,94.87,8,37.948,02-12-2023,12:58,Ewallet,8.7
790-29-1172,Amravati,Normal,Female,105,57.34,3,8.601,03-10-2023,18:59,Credit card,7.9
239-36-3640,Vasai-Virar,Normal,Male,102,45.35,6,13.605,1/31/2023,13:44,Ewallet,6.1
468-01-2051,Ajmer,Normal,Male,105,62.08,7,21.728,03-06-2023,13:46,Ewallet,5.4
389-25-3394,Udaipur,Normal,Male,102,11.81,5,2.9525,2/17/2023,18:06,Cash,9.4
279-62-1445,Delhi,Member,Female,106,12.54,1,0.627,2/21/2023,12:38,Cash,8.2
213-72-6612,Udaipur,Normal,Male,105,43.25,2,4.325,3/20/2023,15:56,Cash,6.2
746-68-6593,Bengaluru,Member,Female,104,87.16,2,8.716,01-11-2023,14:29,Credit card,9.7
836-82-5858,Bhiwandi,Member,Male,101,69.37,9,31.2165,1/26/2023,19:14,Ewallet,4
583-72-1480,Bhavnagar,Member,Male,102,37.06,4,7.412,1/31/2023,16:24,Ewallet,9.7
466-61-5506,Ajmer,Member,Female,102,90.7,6,27.21,2/26/2023,10:52,Cash,5.3
721-86-6247,Ballari,Normal,Female,103,63.42,8,25.368,03-11-2023,12:55,Ewallet,7.4
289-65-5721,Mangaluru,Normal,Female,106,81.37,2,8.137,1/26/2023,19:28,Cash,6.5
545-46-3100,Jodhpur,Member,Female,102,10.59,3,1.5885,03-12-2023,13:52,Credit card,8.7
418-02-5978,Nanded-Waghala,Normal,Female,101,84.09,9,37.8405,02-11-2023,10:54,Cash,8
269-04-5750,Davanagere,Member,Male,106,73.82,4,14.764,2/21/2023,18:31,Cash,6.7
157-13-5295,Nashik,Member,Male,101,51.94,10,25.97,03-09-2023,18:24,Ewallet,6.5
645-78-8093,Hubli-Dharwad,Normal,Female,104,93.14,2,9.314,1/20/2023,18:09,Ewallet,4.1
211-30-9270,Bathinda,Normal,Male,101,17.41,5,4.3525,1/28/2023,15:16,Credit card,4.9
755-12-3214,Indore,Member,Female,106,44.22,5,11.055,03-05-2023,17:07,Credit card,8.6
346-84-3103,Ludhiana,Member,Female,102,13.22,5,3.305,03-02-2023,19:26,Cash,4.3
478-06-7835,Ahmedabad,Normal,Male,106,89.69,1,4.4845,01-11-2023,11:20,Ewallet,4.9
540-11-4336,Dhule,Normal,Male,105,24.94,9,11.223,01-11-2023,16:49,Credit card,5.6
448-81-5016,Bharatpur,Normal,Male,101,59.77,2,5.977,03-11-2023,12:01,Credit card,5.8
142-72-4741,Jaipur,Member,Male,106,93.2,2,9.32,2/28/2023,18:37,Credit card,6
217-58-1179,Ahmednagar,Member,Male,103,62.65,4,12.53,01-05-2023,11:25,Cash,4.2
376-02-8238,Nashik,Normal,Male,103,93.87,8,37.548,02-02-2023,18:42,Credit card,8.3
530-90-9855,Hubli-Dharwad,Member,Male,103,47.59,8,19.036,01-01-2023,14:47,Cash,5.7
866-05-7563,Aurangabad,Member,Female,102,81.4,3,12.21,02-09-2023,19:43,Cash,4.8
604-70-6476,Ahmedabad,Member,Male,106,17.94,5,4.485,1/23/2023,14:04,Ewallet,6.8
799-71-1548,Bharatpur,Member,Male,102,77.72,4,15.544,01-07-2023,16:11,Credit card,8.8
785-13-7708,Ahmednagar,Normal,Male,105,73.06,7,25.571,1/14/2023,19:06,Credit card,4.2
845-51-0542,Indore,Member,Male,105,46.55,9,20.9475,02-02-2023,15:34,Ewallet,6.4
662-47-5456,Nashik,Member,Male,106,35.19,10,17.595,3/17/2023,19:06,Credit card,8.4
883-17-4236,Hubli-Dharwad,Normal,Female,104,14.39,2,1.439,03-02-2023,19:44,Credit card,7.2
290-68-2984,Murwara (Katni),Normal,Male,103,23.75,4,4.75,3/16/2023,11:22,Cash,5.2
704-11-6354,Udaipur,Member,Male,103,58.9,8,23.56,01-06-2023,11:23,Cash,8.9
110-48-7033,Vasai-Virar,Member,Male,106,32.62,4,6.524,1/29/2023,14:12,Cash,9
366-93-0948,Amravati,Member,Male,102,66.35,1,3.3175,1/31/2023,10:46,Credit card,9.7
729-09-9681,Bhopal,Member,Male,103,25.91,6,7.773,02-05-2023,10:16,Ewallet,8.7
151-16-1484,Udaipur,Member,Male,102,32.25,4,6.45,2/13/2023,12:38,Ewallet,6.5
380-94-4661,Bengaluru,Member,Male,102,65.94,4,13.188,02-07-2023,13:05,Credit card,6.9
850-41-9669,Dhule,Normal,Female,102,75.06,9,33.777,3/19/2023,13:25,Ewallet,6.2
821-07-3596,Jaipur,Normal,Female,106,16.45,4,3.29,03-07-2023,14:53,Ewallet,5.6
655-85-5130,Belagavi,Member,Female,106,38.3,4,7.66,3/13/2023,19:22,Cash,5.7
447-15-7839,Belagavi,Member,Female,104,22.24,10,11.12,02-09-2023,11:00,Cash,4.2
